"","sigma","mu1","mu2","delta","Delta_B1ELT","Delta_B1ERT","Delta_B1sym","rbar1_sharpELT","rbar1_sharpERT","rbar1_sharpsym","rbar1ELT","rbar1ERT","rbar1sym","rbar2_sharpELT","rbar2_sharpERT","rbar2_sharpsym","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"1234",0.8,0.4,0.5,0.1,0.0108230010151944,0.0108245632469428,0.010681026894836,0.0496564497047719,0.0497463160347952,0.0497060441845189,-0.00289808130181012,-0.00287983938420326,-0.0030570538195376,0.0633775320217765,0.0634507186659413,0.0634441248988925,0.0005772,0.0005428,0.0006364,249.105555555556,209.223055555556,269.778525641026,3.9,4.6,6.1
"1235",0.8,0.4,0.5,0.2,0.0163583222851617,0.0162793119089979,0.0164245339957229,0.0769432067901643,0.0770061527026333,0.077028986136501,-0.00756680969593403,-0.00755531505517322,-0.00759895928013828,0.10086833877126,0.100840779666804,0.101052479412362,0.0002167,0.0002706,0.0002717,104.61,68.2327777777778,105.513888888889,2.6,5,4.6
"1236",0.8,0.4,0.5,0.3,0.0190558173062536,0.0191184389123775,0.019199173231566,0.0914874334378402,0.0914221465377202,0.0912976013840967,-0.0137696100080013,-0.0137199136031361,-0.0136883919480256,0.124312860752095,0.124260499053234,0.124185166563688,0.0001798,0.0001665,0.0001342,59.3016666666667,96.8916666666667,69.0309523809524,4.1,2,2.5
"1237",0.8,0.4,0.5,0.4,0.0196829618041864,0.019739541281345,0.0199584961293588,0.0957516296969699,0.0962136500051586,0.0959432968804034,-0.0213613869122625,-0.0213245487209063,-0.0210919582484818,0.136795978413419,0.13727774000741,0.136993751258244,0.0001013,0.0001074,8.71e-05,42.325,53.3833333333333,46.7633333333333,2.7,2.5,2.2
"1238",0.8,0.4,0.5,0.5,0.0187282297080251,0.0187754140434426,0.019281659860267,0.0924445364375412,0.0921503392516139,0.0923737908733806,-0.0302434074856902,-0.030141193998792,-0.0298628626598503,0.141416173631257,0.141066947293848,0.141518313393498,6.82e-05,0.0001052,9.44e-05,52.7833333333333,65.6057142857143,39.1297619047619,1.6,3,3.6
"1239",0.8,0.4,0.5,0.6,0.0163149326907776,0.016335173696328,0.0165148306074363,0.0801986300787735,0.0800379843718358,0.0797137562994133,-0.0407503468347848,-0.0406013336367599,-0.0404504621526587,0.137263909604336,0.136974491704924,0.136679049059508,7.99e-05,6.17e-05,7.8e-05,51.95,32.45,38.8833333333333,1.9,2.5,2.3
"1240",0.8,0.4,0.5,0.7,0.0128311273536662,0.0128399793250084,0.012780295142494,0.0588205828755342,0.0583223889876987,0.0590799502678196,-0.0525751493895549,-0.0525468873638059,-0.0525127703978262,0.124226859618755,0.123709255676513,0.12437301580814,5.47e-05,5.47e-05,6.15e-05,43.35,42.85,26.275,1.3,1.6,3.1
"1241",0.8,0.4,0.5,0.8,0.00834611416767768,0.00834440881568475,0.00839410578958827,0.0264822795550093,0.0263589509892848,0.0265761133155775,-0.0661271660079867,-0.0660842430899714,-0.0659898063705276,0.100955559730673,0.100787602894941,0.100960025475693,5.24e-05,5.48e-05,4.7e-05,31.8833333333333,33.17,20.3066666666667,1.8,2.1,2.7
"1242",0.8,0.4,0.5,0.9,0.00356344831536983,0.00361440979767488,0.00332870632829733,-0.0219081487403806,-0.0218822102485073,-0.0222603393128639,-0.0817627140637849,-0.0818034962513049,-0.0821047113559104,0.0634180136387741,0.0635356958004724,0.0631730783713439,3.41e-05,3.37e-05,4.74e-05,29.35,18.1916666666667,32.45,1.2,2.1,1.8
"1243",0.8,0.4,0.5,1,0.000144631188258402,7.32389402008893e-05,0.000324980278088485,-0.10041374855694,-0.0999653077901494,-0.10028927382965,-0.10005680930018,-0.099920677811325,-0.0998476371319868,-0.000212308068501791,2.86089613765143e-05,-0.000116656419574182,3.88e-05,4.65e-05,4.62e-05,17.8166666666667,23.4125,23.1666666666667,2.5,2.3,2.2
